GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Flux client,org.influxdata.flux.domain,FluxColumn,75,35,0,0,8,15,2,10,2,10
The Flux client,org.influxdata.flux.domain,FluxRecord,47,55,0,0,6,14,3,9,3,9
The Flux client,org.influxdata.flux.domain,FluxTable,47,19,0,0,5,5,2,3,2,3
The Flux client,org.influxdata.flux.impl,FluxClientImpl,237,270,6,4,66,73,18,13,14,12
The Flux client,org.influxdata.flux.impl,FluxCsvParser.ParsingState,0,24,0,0,0,3,0,1,0,1
The Flux client,org.influxdata.flux.impl,FluxClientImpl.DefaultCancellable,0,16,0,0,0,5,0,3,0,3
The Flux client,org.influxdata.flux.impl,FluxCsvParser,45,481,13,46,10,121,13,32,0,12
The Flux client,org.influxdata.flux.impl,FluxResponseConsumerTable,0,27,0,0,0,7,0,4,0,4
The Flux client,org.influxdata.flux.impl,FluxClientImpl.new Callback() {...},15,60,2,8,4,14,2,6,0,3
The Flux client,org.influxdata.flux.impl,FluxClientImpl.new FluxCsvParser.FluxResponseConsumer() {...},0,16,0,0,0,4,0,3,0,3
The Flux client,org.influxdata.flux.error,FluxCsvParserException,4,0,0,0,2,0,1,0,1,0
The Flux client,org.influxdata.flux.error,FluxQueryException,3,7,0,0,1,3,1,1,1,1
The Flux client,org.influxdata.flux.option,FluxConnectionOptions.Builder,14,26,1,1,4,7,2,3,1,3
The Flux client,org.influxdata.flux.option,FluxConnectionOptions,0,25,0,0,0,8,0,4,0,4
The Flux client,org.influxdata.flux,FluxClientFactory,8,9,0,0,4,2,1,1,1,1
