GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Flux DSL,com.influxdb.query.dsl.functions.properties,FunctionsParameters.StringProperty,24,0,2,0,6,0,3,0,2,0
The Flux DSL,com.influxdb.query.dsl.functions.properties,FunctionsParameters.new FunctionsParameters.Property() {...},14,0,0,0,3,0,3,0,3,0
The Flux DSL,com.influxdb.query.dsl.functions.properties,TimeInterval,130,0,16,0,46,0,17,0,2,0
The Flux DSL,com.influxdb.query.dsl.functions.properties,FunctionsParameters.new FunctionsParameters.AbstractProperty() {...},13,0,0,0,2,0,2,0,2,0
The Flux DSL,com.influxdb.query.dsl.functions.properties,FunctionsParameters,325,0,44,0,89,0,39,0,17,0
The Flux DSL,com.influxdb.query.dsl.functions.properties,FunctionsParameters.AbstractProperty,2,0,0,0,1,0,1,0,1,0
The Flux DSL,com.influxdb.query.dsl.functions.properties,FunctionsParameters.NamedProperty,44,0,2,0,12,0,4,0,3,0
The Flux DSL,com.influxdb.query.dsl.functions.restriction,ColumnRestriction,62,0,0,0,13,0,10,0,10,0
The Flux DSL,com.influxdb.query.dsl.functions.restriction,ColumnRestriction.ContainsRestrictions,35,0,0,0,7,0,2,0,2,0
The Flux DSL,com.influxdb.query.dsl.functions.restriction,Restrictions,58,0,0,0,13,0,12,0,12,0
The Flux DSL,com.influxdb.query.dsl.functions.restriction,ColumnRestriction.OperatorRestrictions,54,0,2,0,10,0,3,0,2,0
The Flux DSL,com.influxdb.query.dsl.functions.restriction,Restrictions.Not,16,0,0,0,4,0,2,0,2,0
The Flux DSL,com.influxdb.query.dsl.functions.restriction,Restrictions.Logical,51,0,4,0,12,0,6,0,4,0
The Flux DSL,com.influxdb.query.dsl.functions.restriction,ColumnRestriction.ExistsRestrictions,18,0,0,0,4,0,2,0,2,0
The Flux DSL,com.influxdb.query.dsl.functions,MapFlux,17,0,0,0,6,0,3,0,3,0
