GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The InfluxDB Client Core,com.influxdb.rest,ConnectionClosingInterceptor,7,78,3,7,2,18,3,7,0,5
The InfluxDB Client Core,com.influxdb.query.internal,FluxCsvParser.FluxRecordOrTable,3,0,0,0,1,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.query.internal,FluxCsvParser.ResponseMetadataMode,15,0,0,0,3,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.query.internal,FluxCsvParser.FluxResponseConsumerTable,30,0,0,0,7,0,4,0,4,0
The InfluxDB Client Core,com.influxdb.query.internal,FluxCsvParser,683,0,83,0,153,0,61,0,16,0
The InfluxDB Client Core,com.influxdb.query.internal,FluxCsvParser.ParsingState,15,0,0,0,3,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.query.internal,FluxCsvParser.FluxCsvState,21,0,0,0,7,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.query.internal,FluxResultMapper,506,0,96,0,104,0,59,0,11,0
The InfluxDB Client Core,com.influxdb.exceptions,GatewayTimeoutException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,PaymentRequiredException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,ForbiddenException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,BadRequestException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,NotImplementedException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,UnprocessableEntityException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,BadGatewayException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,MethodNotAllowedException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,ProxyAuthenticationRequiredException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,InfluxException,249,0,26,0,57,0,27,0,14,0
The InfluxDB Client Core,com.influxdb.exceptions,NotAcceptableException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,RequestEntityTooLargeException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,InfluxException.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,NotFoundException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,RequestTimeoutException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,ServiceUnavailableException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.exceptions,InternalServerErrorException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.query.exceptions,FluxQueryException,10,0,0,0,4,0,2,0,2,0
The InfluxDB Client Core,com.influxdb.query.exceptions,FluxCsvParserException,4,0,0,0,2,0,1,0,1,0
The InfluxDB Client Core,com.influxdb,LogLevel,27,0,0,0,5,0,1,0,1,0
The InfluxDB Client Core,com.influxdb.internal,AbstractQueryApi.DefaultCancellable,13,0,0,0,5,0,3,0,3,0
The InfluxDB Client Core,com.influxdb.internal,AbstractQueryApi.FluxRecordIterator,128,0,16,0,31,0,14,0,6,0
The InfluxDB Client Core,com.influxdb.internal,AbstractQueryApi,330,0,20,0,83,0,27,0,17,0
The InfluxDB Client Core,com.influxdb.internal,AbstractRestClient,234,0,27,0,61,0,33,0,12,0
The InfluxDB Client Core,com.influxdb.internal,AbstractQueryApi.new Callback() {...},40,0,4,0,11,0,5,0,3,0
The InfluxDB Client Core,com.influxdb.internal,UserAgentInterceptor,3,48,2,2,0,9,2,2,0,2
The InfluxDB Client Core,com.influxdb.internal,AbstractQueryApi.RawIterator,88,0,14,0,22,0,13,0,6,0
The InfluxDB Client Core,com.influxdb.query,FluxRecord,139,0,10,0,30,0,20,0,15,0
The InfluxDB Client Core,com.influxdb.query,FluxTable,48,0,0,0,10,0,5,0,5,0
The InfluxDB Client Core,com.influxdb.query,InfluxQLQueryResult,12,0,0,0,5,0,2,0,2,0
The InfluxDB Client Core,com.influxdb.query,FluxColumn,148,0,16,0,33,0,22,0,14,0
The InfluxDB Client Core,com.influxdb.query,InfluxQLQueryResult.Series,55,0,0,0,18,0,7,0,7,0
The InfluxDB Client Core,com.influxdb.query,InfluxQLQueryResult.Series.Record,33,0,2,0,9,0,4,0,3,0
The InfluxDB Client Core,com.influxdb.query,InfluxQLQueryResult.Result,18,0,0,0,7,0,3,0,3,0
