GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The InfluxDB Client Core,org.influxdata.exceptions,UnprocessableEntityException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,MethodNotAllowedException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,ServiceUnavailableException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,ProxyAuthenticationRequiredException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,NotAcceptableException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,InfluxException,0,182,1,21,0,46,1,21,0,11
The InfluxDB Client Core,org.influxdata.exceptions,BadRequestException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,InternalServerErrorException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,BadGatewayException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,PaymentRequiredException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,NotImplementedException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,RequestTimeoutException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.exceptions,ForbiddenException,0,4,0,0,0,2,0,1,0,1
The InfluxDB Client Core,org.influxdata.query.internal,FluxCsvParser.ParsingState,0,24,0,0,0,3,0,1,0,1
The InfluxDB Client Core,org.influxdata.query.internal,FluxResultMapper,110,244,27,29,25,47,24,11,3,4
The InfluxDB Client Core,org.influxdata.query.internal,FluxCsvParser.FluxResponseConsumerTable,0,30,0,0,0,7,0,4,0,4
The InfluxDB Client Core,org.influxdata.query.internal,FluxCsvParser,0,471,4,54,0,115,4,38,0,10
The InfluxDB Client Core,org.influxdata.internal,AbstractQueryApi,20,208,1,11,8,51,2,16,1,11
The InfluxDB Client Core,org.influxdata.internal,AbstractQueryApi.new Callback() {...},13,65,1,11,5,13,2,7,1,2
The InfluxDB Client Core,org.influxdata.internal,AbstractRestClient,25,209,9,26,1,52,7,29,1,11
The InfluxDB Client Core,org.influxdata.internal,AbstractQueryApi.DefaultCancellable,0,16,0,0,0,5,0,3,0,3
The InfluxDB Client Core,org.influxdata.query,FluxRecord,0,102,0,0,0,20,0,12,0,12
The InfluxDB Client Core,org.influxdata.query,FluxColumn,0,110,0,0,0,23,0,12,0,12
The InfluxDB Client Core,org.influxdata.query,FluxTable,0,66,0,0,0,10,0,5,0,5
The InfluxDB Client Core,org.influxdata,LogLevel,0,44,0,0,0,5,0,1,0,1
The InfluxDB Client Core,org.influxdata,Arguments,0,178,0,30,0,25,0,25,0,10
The InfluxDB Client Core,org.influxdata.query.exceptions,FluxQueryException,0,10,0,0,0,4,0,2,0,2
The InfluxDB Client Core,org.influxdata.query.exceptions,FluxCsvParserException,0,4,0,0,0,2,0,1,0,1
