GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.write,Point,187,418,41,38,49,102,42,33,9,23
The Java InfluxDB 2.x Client,com.influxdb.client.write,PointSettings,4,107,1,7,1,22,2,12,1,9
The Java InfluxDB 2.x Client,com.influxdb.client.write,WriteParameters,58,203,22,18,9,47,21,12,1,12
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,FlowableBufferTimedFlushable,17,58,0,0,1,14,1,2,1,2
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,BackpressureBatchesBufferStrategy.OnBackpressureBufferStrategySubscriber,151,193,28,23,58,67,24,12,4,6
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,BackpressureBatchesBufferStrategy,0,23,0,0,0,6,0,2,0,2
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,FlowableBufferTimedFlushable.BufferExactBoundedSubscriber,71,267,10,10,30,71,12,10,3,9
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummarySummaryTagRules,155,0,14,0,35,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LineProtocolError,178,0,18,0,29,0,19,0,10,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PatchOrganizationRequest,108,13,12,0,23,5,14,3,8,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SingleStatViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,OptionStatement.OptionStatementAssignmentAdapter,76,0,4,0,12,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,IntegerLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafPluginRequest,214,66,21,1,36,26,23,12,12,12
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TableViewPropertiesTableOptions,192,0,16,0,43,0,25,0,17,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Runs,130,14,14,0,30,4,17,2,10,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RunLinks,87,68,13,1,22,13,15,6,8,6
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ReturnStatement.ReturnStatementArgumentAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BandViewProperties.ShapeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,FluxSuggestion,128,14,14,0,29,4,16,3,9,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,XYViewProperties.PositionEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryErrors,232,0,20,0,53,0,29,0,19,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LabelUpdate,129,13,14,0,29,4,17,2,10,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MemberAssignment,182,0,16,0,39,0,22,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LineProtocolError.CodeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ResourceMember,93,9,12,0,17,3,10,2,4,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationRules,127,17,14,0,29,5,16,3,9,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Axes,127,0,12,0,30,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Telegrafs,92,11,10,0,23,3,12,2,7,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ModelPackage,189,20,18,0,41,6,22,5,13,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Threshold,64,3,8,0,14,1,8,1,4,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RegexpLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HTTPNotificationEndpoint.AuthMethodEnum,6,59,1,3,2,11,2,5,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,File.FileBodyAdapter,80,100,12,6,13,15,9,5,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,QueryEditMode.Adapter,0,16,0,0,0,5,0,3,0,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LineProtocolLengthError.CodeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BandViewProperties.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SlackNotificationRuleBase.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScraperTargetResponses,92,11,10,0,23,3,12,2,7,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BuilderFunctionsType,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ResourceMembers,130,14,14,0,30,4,17,2,10,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MemberExpression,173,9,16,0,36,3,21,1,13,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Source.TypeEnum.Adapter,0,16,0,0,0,5,0,3,0,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Ready.StatusEnum.Adapter,6,10,0,0,2,3,1,2,1,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LesserThreshold.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,AuthorizationLinks,49,54,11,1,9,11,8,5,2,5
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ConditionalExpression.ConditionalExpressionAlternateAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TableViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,AuthorizationPostRequest,173,23,18,0,34,8,20,4,11,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HealthCheck.StatusEnum.Adapter,6,10,0,0,2,3,1,2,1,2
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HTTPNotificationRuleBase.TypeEnum,8,43,2,2,2,9,3,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateKind,142,0,4,0,24,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Replications,103,0,10,0,26,0,14,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HeatmapViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MapVariableProperties,129,28,15,1,24,8,14,4,6,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DBRPUpdate,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiff,593,0,48,0,134,0,69,0,45,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BinaryExpression.BinaryExpressionLeftAdapter,254,116,38,8,39,15,24,4,1,4
The Java InfluxDB 2.x Client,com.influxdb.client.domain,StatusRule,169,26,16,0,35,9,19,6,11,6
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RangeThreshold.TypeEnum.Adapter,0,16,0,0,0,5,0,3,0,3
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DBRP,279,6,22,0,58,2,34,1,23,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,UsersLinks,80,3,8,0,20,1,11,1,7,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PasswordResetBody,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CreateDashboardRequest,128,27,14,0,25,10,14,7,7,7
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HistogramViewProperties,654,0,42,0,134,0,74,0,53,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,StaticLegend,291,0,22,0,63,0,37,0,26,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Dashboard,247,34,24,0,49,10,26,6,14,6
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffChecks,266,0,20,0,59,0,33,0,23,0
