GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.write,Point,56,549,11,68,12,139,9,66,1,31
The Java InfluxDB 2.x Client,com.influxdb.client.write,PointSettings,2,109,0,8,0,23,1,13,1,9
The Java InfluxDB 2.x Client,com.influxdb.client.write,WriteParameters,9,252,5,35,4,52,5,28,0,13
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,FlowableBufferTimedFlushable,17,58,0,0,1,14,1,2,1,2
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,BackpressureBatchesBufferStrategy.OnBackpressureBufferStrategySubscriber,97,247,16,35,41,84,17,19,3,7
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,BackpressureBatchesBufferStrategy,0,23,0,0,0,6,0,2,0,2
The Java InfluxDB 2.x Client,com.influxdb.client.internal.flowable,FlowableBufferTimedFlushable.BufferExactBoundedSubscriber,62,276,8,12,26,75,10,12,2,10
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummarySummaryTagRules,155,0,14,0,35,0,21,0,14,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,LineProtocolError,178,0,18,0,29,0,19,0,10,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PatchOrganizationRequest,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SingleStatViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,OptionStatement.OptionStatementAssignmentAdapter,76,0,4,0,12,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,IntegerLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafPluginRequest,280,0,22,0,62,0,35,0,24,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TableViewPropertiesTableOptions,192,0,16,0,43,0,25,0,17,0
