GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client,InfluxDBClientKotlinFactory,3,0,0,0,1,0,1,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client,InfluxDBClientKotlinFactory.Companion,46,28,0,0,10,6,2,2,2,2
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.queryRaw.consumer.new BiConsumer() {...},26,0,2,0,4,0,2,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,InfluxDBClientKotlinImpl,59,8,0,0,10,1,7,1,7,1
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.query.responseConsumer.new FluxCsvParser.FluxResponseConsumer() {...},36,0,2,0,6,0,4,0,3,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.query.consumer.2.new Function2() {...},55,0,9,0,3,0,6,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.queryRaw.consumer.1.new Function2() {...},48,0,9,0,3,0,6,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.query.consumer.new BiConsumer() {...},19,0,0,0,2,0,1,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl,211,0,0,0,28,0,6,0,6,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.query.consumer.new BiConsumer() {...},20,0,0,0,2,0,1,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.query.consumer.1.new Function2() {...},47,0,9,0,3,0,6,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.queryRaw.new Runnable() {...},8,0,0,0,1,0,1,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.queryRaw.new Consumer() {...},6,0,0,0,1,0,1,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.query.new Runnable() {...},8,0,0,0,1,0,1,0,1,0
The Kotlin InfluxDB 2.0 Client,org.influxdata.kotlin.client.internal,QueryKotlinApiImpl.query.new Consumer() {...},6,0,0,0,1,0,1,0,1,0
