GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Platform Client,org.influxdata.platform.write.event,WriteErrorEvent,0,24,0,0,0,8,0,4,0,4
The Platform Client,org.influxdata.platform.write.event,BackpressureEvent,0,13,0,0,0,4,0,3,0,3
The Platform Client,org.influxdata.platform.write.event,WriteSuccessEvent,0,37,0,0,0,13,0,7,0,7
The Platform Client,org.influxdata.platform.write.event,AbstractWriteEvent,0,3,0,0,0,1,0,1,0,1
The Platform Client,org.influxdata.platform.domain,Organizations,51,0,0,0,9,0,4,0,4,0
The Platform Client,org.influxdata.platform.domain,Authorizations,41,0,0,0,8,0,4,0,4,0
The Platform Client,org.influxdata.platform.domain,RunStatus,44,0,0,0,5,0,1,0,1,0
The Platform Client,org.influxdata.platform.domain,Users,15,0,0,0,5,0,3,0,3,0
The Platform Client,org.influxdata.platform.domain,AbstractHasLinks,7,8,0,0,3,2,2,1,2,1
The Platform Client,org.influxdata.platform.domain,Health,22,0,0,0,8,0,6,0,6,0
The Platform Client,org.influxdata.platform.domain,Task,167,0,0,0,35,0,18,0,18,0
The Platform Client,org.influxdata.platform.domain,Source.SourceType,0,34,0,0,0,4,0,1,0,1
The Platform Client,org.influxdata.platform.domain,Buckets,15,0,0,0,5,0,3,0,3,0
The Platform Client,org.influxdata.platform.domain,Sources,15,0,0,0,5,0,3,0,3,0
The Platform Client,org.influxdata.platform.domain,UserResourceMapping.UserType,24,0,0,0,3,0,1,0,1,0
The Platform Client,org.influxdata.platform.domain,ResourceType,54,0,0,0,6,0,1,0,1,0
The Platform Client,org.influxdata.platform.domain,Source,108,0,0,0,46,0,31,0,31,0
The Platform Client,org.influxdata.platform.domain,Run,59,0,0,0,25,0,17,0,17,0
The Platform Client,org.influxdata.platform.domain,UserResourceMapping,31,0,0,0,13,0,9,0,9,0
The Platform Client,org.influxdata.platform.domain,Permission,83,0,0,0,15,0,8,0,8,0
The Platform Client,org.influxdata.platform.domain,Bucket,21,24,0,0,9,10,6,7,6,7
The Platform Client,org.influxdata.platform.domain,Status,0,24,0,0,0,3,0,1,0,1
The Platform Client,org.influxdata.platform.domain,User,50,7,0,0,8,3,4,2,4,2
The Platform Client,org.influxdata.platform.domain,Organization,60,7,0,0,9,3,4,2,4,2
The Platform Client,org.influxdata.platform.domain,Authorization,119,0,0,0,27,0,14,0,14,0
The Platform Client,org.influxdata.platform.impl,PlatformClientImpl,0,196,0,0,0,45,0,17,0,17
The Platform Client,org.influxdata.platform.impl,UserClientImpl,78,65,0,0,18,17,3,7,3,7
The Platform Client,org.influxdata.platform.impl,WriteClientImpl.ToWritePointsCompletable,0,76,1,3,0,17,1,5,0,4
The Platform Client,org.influxdata.platform.impl,OrganizationClientImpl,273,66,0,0,65,17,15,6,15,6
The Platform Client,org.influxdata.platform.impl,AuthenticateInterceptor,0,252,0,20,0,57,0,17,0,7
The Platform Client,org.influxdata.platform.impl,GzipInterceptor,0,87,2,6,0,19,2,10,0,8
The Platform Client,org.influxdata.platform.impl,TaskClientImpl,747,22,4,0,163,7,42,1,40,1
The Platform Client,org.influxdata.platform.impl,WriteClientImpl.BatchWriteOptions,5,74,5,5,2,14,5,3,0,3
The Platform Client,org.influxdata.platform.impl,WriteClientImpl.BatchWriteDataPoint,2,16,1,1,1,5,1,2,0,2
The Platform Client,org.influxdata.platform.impl,QueryClientImpl.new FluxCsvParser.FluxResponseConsumer() {...},25,0,0,0,4,0,3,0,3,0
The Platform Client,org.influxdata.platform.impl,QueryClientImpl.new FluxCsvParser.FluxResponseConsumer() {...},25,0,0,0,4,0,3,0,3,0
The Platform Client,org.influxdata.platform.impl,QueryClientImpl.new FluxCsvParser.FluxResponseConsumer() {...},16,0,0,0,4,0,3,0,3,0
