GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Platform Commons,org.influxdata.flux.domain,FluxColumn,0,110,0,0,0,23,0,12,0,12
The Platform Commons,org.influxdata.flux.domain,FluxRecord,0,102,0,0,0,20,0,12,0,12
The Platform Commons,org.influxdata.flux.domain,FluxTable,0,66,0,0,0,10,0,5,0,5
The Platform Commons,org.influxdata.platform.error,InfluxException,4,196,1,27,1,53,1,24,0,11
The Platform Commons,org.influxdata.platform.error.rest,NotImplementedException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,InternalServerErrorException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,BadGatewayException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,BadRequestException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,NotAcceptableException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,MethodNotAllowedException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,ProxyAuthenticationRequiredException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,RequestTimeoutException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,ServiceUnavailableException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,PaymentRequiredException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,NotFoundException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.platform.error.rest,ForbiddenException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.flux.impl,FluxCsvParser,0,471,4,54,0,115,4,38,0,10
The Platform Commons,org.influxdata.flux.impl,FluxResultMapper,259,3,40,0,57,1,25,1,5,1
The Platform Commons,org.influxdata.flux.impl,FluxCsvParser.ParsingState,0,24,0,0,0,3,0,1,0,1
The Platform Commons,org.influxdata.flux.impl,FluxCsvParser.FluxResponseConsumerTable,0,30,0,0,0,7,0,4,0,4
The Platform Commons,org.influxdata.flux.error,FluxCsvParserException,0,4,0,0,0,2,0,1,0,1
The Platform Commons,org.influxdata.flux.error,FluxQueryException,0,10,0,0,0,4,0,2,0,2
The Platform Commons,org.influxdata.platform,Arguments,0,178,0,30,0,25,0,25,0,10
The Platform Commons,org.influxdata.platform.rest,AbstractRestClient,13,204,5,25,1,50,5,28,1,11
The Platform Commons,org.influxdata.platform.rest,LogLevel,0,44,0,0,0,5,0,1,0,1
The Platform Commons,org.influxdata.platform.rest,AbstractQueryClient.new Callback() {...},13,65,1,11,5,13,2,7,1,2
The Platform Commons,org.influxdata.platform.rest,AbstractQueryClient.DefaultCancellable,0,16,0,0,0,5,0,3,0,3
The Platform Commons,org.influxdata.platform.rest,AbstractQueryClient,20,208,1,11,8,51,2,16,1,11
